LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover  ;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
2013;11;06;20;00;14.14;79.00;1011.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.84;249.44;15.60
2013;11;06;21;00;14.15;79.00;1012.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.61;249.65;15.70
2013;11;06;22;00;13.97;80.00;1012.60;0.00;0.00;22.00;0.00;8.00;22.00;0.00;6.39;249.86;15.40
2013;11;06;23;00;14.02;80.00;1012.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.20;252.15;14.90
2013;11;07;00;00;13.86;80.00;1012.90;0.00;0.00;100.00;0.00;100.00;9.00;0.00;5.82;254.05;14.80
2013;11;07;01;00;13.84;80.00;1012.90;0.00;0.00;84.00;0.00;84.00;2.00;0.00;5.72;250.62;15.10
2013;11;07;02;00;13.59;78.00;1013.10;0.00;0.00;56.00;0.00;56.00;2.00;0.00;6.28;247.52;15.50
2013;11;07;03;00;13.25;79.00;1012.80;0.00;0.00;45.00;0.00;0.00;45.00;0.00;5.20;247.38;15.20
2013;11;07;04;00;14.02;78.00;1012.70;0.00;0.00;100.00;0.00;0.00;100.00;0.00;4.97;254.85;13.50
2013;11;07;05;00;13.65;76.00;1014.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;4.11;244.06;11.70
2013;11;07;06;00;14.17;78.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.85;248.20;13.30
2013;11;07;07;00;13.53;79.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.62;248.43;13.60
2013;11;07;08;00;13.56;77.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;16.02;4.02;243.43;13.30
2013;11;07;09;00;14.98;70.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;137.06;5.03;252.65;13.20
2013;11;07;10;00;16.39;64.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;263.44;5.89;255.26;12.40
2013;11;07;11;00;17.85;58.00;1015.00;0.00;0.00;69.00;22.00;0.00;69.00;356.00;6.20;259.78;10.70
